Date,Total_Revenue,Total_Freight,Order_Count,Avg_Delivery_Days,Is_Weekend,Macro Category
17/04/2017 00:00,3921.91,429.56,20,14.47058824,Weekday,Home & Living
14/04/2017 00:00,2119.58,512.69,15,20.6,Weekday,Home & Living
13/04/2017 00:00,3795.31,612.79,20,16.9,Weekday,Home & Living
12/04/2017 00:00,2992.18,529.44,20,22.84210526,Weekday,Home & Living
11/04/2017 00:00,2395.67,527.17,25,15,Weekday,Home & Living
10/04/2017 00:00,3443.31,652.75,28,12.07407407,Weekday,Home & Living
07/04/2017 00:00,3451.74,513.55,21,16.04761905,Weekday,Home & Living
06/04/2017 00:00,11043.72,891.72,34,12.78787879,Weekday,Home & Living
05/04/2017 00:00,4620.32,668.41,33,12.83870968,Weekday,Home & Living
04/04/2017 00:00,4596.88,764.86,37,9.837837838,Weekday,Home & Living
03/04/2017 00:00,3727.55,763.76,34,13.06451613,Weekday,Home & Living
31/03/2017 00:00,3700.44,426.52,16,13.93333333,Weekday,Home & Living
30/03/2017 00:00,3817.46,614.79,31,14.32258065,Weekday,Home & Living
29/03/2017 00:00,4975.32,805.32,35,19,Weekday,Home & Living
28/03/2017 00:00,3522.11,861.71,36,12.09375,Weekday,Home & Living
27/03/2017 00:00,4686.77,958.89,38,14.2972973,Weekday,Home & Living
24/03/2017 00:00,4325.37,763.18,36,17.45714286,Weekday,Home & Living
23/03/2017 00:00,6717.47,1106.55,41,14.575,Weekday,Home & Living
22/03/2017 00:00,4821.39,891.45,37,11.08108108,Weekday,Home & Living
21/03/2017 00:00,3580.89,514.05,26,9.115384615,Weekday,Home & Living
20/03/2017 00:00,4069.36,890,39,12.26315789,Weekday,Home & Living
17/03/2017 00:00,5440.31,786.67,29,21.20689655,Weekday,Home & Living
16/03/2017 00:00,5262.63,1114.84,38,20.6,Weekday,Home & Living
15/03/2017 00:00,5319.63,1087.67,44,20.5,Weekday,Home & Living
14/03/2017 00:00,6750.06,1155.81,44,12.025,Weekday,Home & Living
13/03/2017 00:00,7757.13,997.28,47,17,Weekday,Home & Living
10/03/2017 00:00,4811.84,792.94,30,12.46666667,Weekday,Home & Living
09/03/2017 00:00,5872.97,1012.33,43,12.31707317,Weekday,Home & Living
08/03/2017 00:00,3759.98,981.46,28,19.15384615,Weekday,Home & Living
07/03/2017 00:00,4921.82,1061.03,39,11.45945946,Weekday,Home & Living
06/03/2017 00:00,3495.15,992.83,35,12.91176471,Weekday,Home & Living
03/03/2017 00:00,4526.52,747.45,33,15.09090909,Weekday,Home & Living
02/03/2017 00:00,5285.52,769.62,31,12.68965517,Weekday,Home & Living
01/03/2017 00:00,4224.73,925.19,39,12.78947368,Weekday,Home & Living
